antecedents|consequents|antecedent support|consequent support|support|confidence|lift|representativity|leverage|conviction|zhangs_metric|jaccard|certainty|kulczynski|length
frozenset({'restingecg=norm', 'thal=norm'})|frozenset({'class=buff'})|0.2838283828382838|0.5445544554455446|0.24422442244224424|0.8604651162790699|1.5801268498942918|1.0|0.08966441198575303|3.264026402640266|0.5126416739319964|0.4180790960451977|0.693629929221436|0.6544749823819591|3
frozenset({'slope=up', 'thal=norm'})|frozenset({'class=buff'})|0.33663366336633666|0.5445544554455446|0.29372937293729373|0.872549019607843|1.6023172905525844|1.0|0.1104140116981995|3.5734958111195705|0.5666610766392755|0.4999999999999999|0.7201619778346119|0.7059714795008911|3
frozenset({'exerciseinducedangina=fal', 'numberofvesselscolored=0', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.3234323432343234|0.5445544554455446|0.2739273927392739|0.8469387755102041|1.5552875695732837|1.0|0.09780086919583045|2.975577557755776|0.5277108433734938|0.4611111111111111|0.6639307897071873|0.6749845392702536|4
frozenset({'exerciseinducedangina=fal', 'cholesteral_cat=M', 'restingbloodpres_cat=M'})|frozenset({'class=buff'})|0.3234323432343234|0.5445544554455446|0.23432343234323433|0.7244897959183674|1.3304267161410017|1.0|0.058196908799790864|1.653098643197653|0.3670903469598076|0.36979166666666674|0.395075421472937|0.5773964131106988|4
frozenset({'slope=up', 'cholesteral_cat=M', 'exerciseinducedangina=fal'})|frozenset({'class=buff'})|0.2706270627062706|0.5445544554455446|0.21782178217821782|0.8048780487804879|1.4780487804878049|1.0|0.07045060941737738|2.3341584158415847|0.44343891402714924|0.36464088397790057|0.5715800636267233|0.6024390243902439|4
frozenset({'exerciseinducedangina=fal', 'thal=norm', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.3234323432343234|0.5445544554455446|0.2739273927392739|0.8469387755102041|1.5552875695732837|1.0|0.09780086919583045|2.975577557755776|0.5277108433734938|0.4611111111111111|0.6639307897071873|0.6749845392702536|4
frozenset({'numberofvesselscolored=0', 'fastingbloodsugarlt120=fal', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.36303630363036304|0.5445544554455446|0.28052805280528054|0.7727272727272727|1.4190082644628097|1.0|0.08283501617488481|2.0039603960396035|0.46357817738494356|0.4473684210526316|0.50098814229249|0.6439393939393939|4
frozenset({'oldpeak_cat=L', 'fastingbloodsugarlt120=fal', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.27722772277227725|0.5445544554455446|0.20462046204620463|0.738095238095238|1.3554112554112552|1.0|0.053654870437538776|1.7389738973897384|0.36279275298276603|0.3315508021390374|0.42494824016563126|0.5569264069264068|4
frozenset({'slope=up', 'fastingbloodsugarlt120=fal', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.2871287128712871|0.5445544554455446|0.2145214521452145|0.7471264367816092|1.3719958202716822|1.0|0.05816423226481063|1.8010801080108008|0.38034188034188027|0.3475935828877005|0.4447776111944027|0.5705329153605015|4
frozenset({'thal=norm', 'fastingbloodsugarlt120=fal', 'cholesteral_cat=M'})|frozenset({'class=buff'})|0.34983498349834985|0.5445544554455446|0.2739273927392739|0.7830188679245282|1.4379073756432246|1.0|0.08342319380452892|2.099009900990098|0.4684117179377406|0.4414893617021276|0.5235849056603772|0.6430245854774156|4
